Program	Message	Time	Details
Hearthstone	mouse left up	440295069	(1086, 368)
Hearthstone	mouse left down	440296675	(1081, 371)
Hearthstone	mouse left up	440296941	(1081, 371)
Hearthstone	mouse left down	440299249	(1081, 371)
Hearthstone	mouse left up	440299437	(1081, 371)
Hearthstone	mouse left down	440305864	(1182, 731)
Hearthstone	mouse left up	440306035	(1182, 731)
Hearthstone	mouse left down	440339654	(699, 351)
Hearthstone	mouse left up	440339810	(699, 351)
Hearthstone	mouse left down	440340496	(710, 357)
Hearthstone	mouse left up	440340621	(711, 357)
Hearthstone	mouse left down	440340948	(906, 340)
Hearthstone	mouse left up	440341073	(906, 339)
Hearthstone	mouse left down	440341463	(1110, 361)
Hearthstone	mouse left up	440341572	(1110, 361)
Hearthstone	mouse left down	440342259	(794, 739)
Hearthstone	mouse left up	440342337	(794, 739)
Hearthstone	mouse left down	440363007	(954, 808)
Hearthstone	mouse left up	440363787	(955, 366)
Hearthstone	mouse left down	440364895	(864, 804)
Hearthstone	mouse left up	440365394	(1108, 351)
Hearthstone	mouse left down	440366205	(932, 863)
Hearthstone	mouse left up	440366860	(1016, 412)
Hearthstone	mouse left down	440368015	(800, 680)
Hearthstone	mouse left up	440368810	(810, 342)
Hearthstone	mouse left down	440371852	(1286, 397)
Hearthstone	mouse left up	440371993	(1285, 397)
Hearthstone	mouse left down	440400338	(951, 672)
Hearthstone	mouse left up	440400447	(951, 672)
Hearthstone	mouse left down	440402413	(784, 665)
Hearthstone	mouse left up	440403271	(873, 316)
Hearthstone	mouse left down	440405502	(1286, 399)
Hearthstone	mouse left up	440405907	(1286, 399)
Hearthstone	mouse left down	440430134	(570, 867)
Hearthstone	mouse left up	440431133	(807, 447)
Hearthstone	mouse left down	440435220	(1273, 401)
Hearthstone	mouse left up	440435407	(1273, 401)
Hearthstone	mouse left down	440469868	(818, 795)
Hearthstone	mouse left up	440470944	(754, 464)
Hearthstone	mouse left down	440472972	(858, 320)
Hearthstone	mouse left up	440473144	(857, 320)
Hearthstone	mouse left down	440474267	(943, 834)
Hearthstone	mouse left up	440475780	(887, 494)
Hearthstone	mouse left down	440477013	(857, 334)
Hearthstone	mouse left up	440477309	(857, 334)
Hearthstone	mouse left down	440481365	(1323, 414)
Hearthstone	mouse left up	440482005	(1323, 414)
Hearthstone	mouse left down	440519507	(880, 831)
Hearthstone	mouse left up	440520724	(937, 489)
Hearthstone	mouse left down	440526402	(960, 898)
Hearthstone	mouse left up	440527604	(1011, 466)
Hearthstone	mouse left down	440528898	(695, 812)
Hearthstone	mouse left up	440529678	(624, 537)
Hearthstone	mouse left down	440530802	(711, 807)
Hearthstone	mouse left up	440532190	(539, 487)
Hearthstone	mouse left down	440533017	(683, 478)
Hearthstone	mouse left up	440533173	(683, 478)
Hearthstone	mouse left down	440539585	(679, 489)
Hearthstone	mouse left up	440544358	(844, 340)
Hearthstone	mouse left down	440553500	(722, 441)
Hearthstone	mouse left up	440554124	(817, 202)
Hearthstone	mouse left down	440555653	(1312, 405)
Hearthstone	mouse left up	440555824	(1312, 405)
Hearthstone	mouse right down	440568601	(763, 694)
Hearthstone	mouse right up	440568741	(763, 694)
Hearthstone	mouse left down	440569459	(667, 648)
Hearthstone	mouse left up	440569584	(667, 648)
Hearthstone	mouse left down	440591205	(948, 845)
Hearthstone	mouse left up	440592344	(906, 503)
Hearthstone	mouse left down	440594419	(882, 500)
Hearthstone	mouse left up	440595012	(828, 355)
Hearthstone	mouse left down	440595963	(934, 677)
Hearthstone	mouse left up	440596088	(934, 677)
Hearthstone	mouse left down	440600066	(1285, 391)
Hearthstone	mouse left up	440600503	(1285, 391)
Hearthstone	mouse left down	440657006	(702, 801)
Hearthstone	mouse left up	440658473	(690, 497)
Hearthstone	mouse left down	440660563	(971, 692)
Hearthstone	mouse left up	440661016	(971, 692)
Hearthstone	mouse left down	440663200	(793, 659)
Hearthstone	mouse left up	440663871	(792, 343)
Hearthstone	mouse left down	440664963	(790, 853)
Hearthstone	mouse left up	440666070	(798, 327)
Hearthstone	mouse left down	440669112	(1301, 411)
Hearthstone	mouse left up	440669502	(1301, 411)
Hearthstone	mouse left down	440701514	(766, 788)
Hearthstone	mouse left up	440703167	(877, 477)
Hearthstone	mouse left down	440704197	(699, 801)
Hearthstone	mouse left up	440705070	(968, 463)
Hearthstone	mouse left down	440708518	(672, 479)
Hearthstone	mouse left up	440709095	(810, 327)
Hearthstone	mouse left down	440712449	(815, 669)
Hearthstone	mouse left up	440713260	(798, 160)
Hearthstone	mouse left down	440718190	(1281, 396)
Hearthstone	mouse left up	440718408	(1281, 396)
Hearthstone	mouse right down	440725772	(1282, 394)
Hearthstone	mouse right up	440726708	(1282, 394)
Hearthstone	mouse left down	440776285	(818, 801)
Hearthstone	mouse left up	440777065	(931, 466)
Hearthstone	mouse left down	440781464	(831, 479)
Hearthstone	mouse left up	440782088	(850, 342)
Hearthstone	mouse left down	440785161	(963, 663)
Hearthstone	mouse left up	440785270	(962, 663)
Hearthstone	mouse left down	440788219	(820, 840)
Hearthstone	mouse left up	440788937	(728, 475)
Hearthstone	mouse left down	440789748	(774, 825)
Hearthstone	mouse left up	440790933	(875, 454)
Hearthstone	mouse left down	440792821	(1308, 425)
Hearthstone	mouse left up	440792993	(1308, 425)
Hearthstone	mouse right down	440820854	(779, 698)
Hearthstone	mouse right up	440820964	(779, 698)
Hearthstone	mouse left down	440821556	(654, 653)
Hearthstone	mouse left up	440821759	(653, 651)
Hearthstone	mouse left down	440829169	(772, 831)
