Program	Message	Time	Details
Papers Please	mouse left down	12601089	(1001, 648)
Papers Please	mouse left up	12601542	(393, 462)
Papers Please	mouse left down	12603336	(579, 269)
Papers Please	mouse left up	12603429	(579, 269)
Papers Please	mouse left down	12609779	(401, 593)
Papers Please	mouse left up	12610169	(901, 520)
Papers Please	mouse left down	12610949	(1351, 457)
Papers Please	mouse left up	12611058	(1351, 457)
Papers Please	mouse left down	12611776	(969, 454)
Papers Please	mouse left up	12611869	(968, 454)
Papers Please	mouse left down	12612103	(935, 605)
Papers Please	mouse left up	12612665	(459, 494)
Papers Please	mouse left down	12614474	(580, 274)
Papers Please	mouse left up	12614615	(580, 274)
Papers Please	mouse left down	12621026	(394, 612)
Papers Please	mouse left up	12621354	(851, 568)
Papers Please	mouse left down	12621994	(1356, 445)
Papers Please	mouse left up	12622103	(1355, 445)
Papers Please	mouse left down	12622415	(881, 617)
Papers Please	mouse left up	12622555	(935, 606)
Papers Please	mouse left down	12622898	(973, 378)
Papers Please	mouse left up	12623023	(973, 378)
Papers Please	mouse left down	12623335	(927, 566)
Papers Please	mouse left up	12623741	(406, 484)
Papers Please	mouse left down	12625098	(573, 271)
Papers Please	mouse left up	12625316	(573, 271)
Papers Please	mouse left down	12626486	(598, 265)
Papers Please	mouse left up	12626627	(598, 265)
Papers Please	mouse left down	12633116	(386, 636)
Papers Please	mouse left up	12633553	(870, 605)
Papers Please	mouse left down	12634583	(1366, 461)
Papers Please	mouse left up	12634676	(1353, 464)
Papers Please	mouse left down	12635020	(919, 648)
Papers Please	mouse left up	12636236	(1189, 646)
Papers Please	mouse left down	12637438	(1200, 406)
Papers Please	mouse left up	12637531	(1200, 406)
Papers Please	mouse left down	12637921	(1175, 667)
Papers Please	mouse left up	12638467	(390, 408)
Papers Please	mouse left down	12641603	(571, 275)
Papers Please	mouse left up	12641743	(571, 275)
Papers Please	mouse left down	12648295	(413, 608)
Papers Please	mouse left up	12648576	(943, 601)
Papers Please	mouse left down	12649029	(1347, 441)
Papers Please	mouse left up	12649169	(1352, 441)
Papers Please	mouse left down	12649465	(1352, 441)
Papers Please	mouse left up	12649606	(1356, 441)
Papers Please	mouse left down	12650401	(832, 568)
Papers Please	mouse left up	12650557	(835, 568)
Papers Please	mouse left down	12650869	(932, 418)
Papers Please	mouse left up	12650994	(932, 417)
Papers Please	mouse left down	12651244	(960, 604)
Papers Please	mouse left up	12651665	(417, 474)
Papers Please	mouse left down	12654598	(581, 271)
Papers Please	mouse left up	12654707	(581, 271)
Papers Please	mouse left down	12661103	(407, 618)
Papers Please	mouse left up	12661540	(1139, 601)
Papers Please	mouse left down	12662226	(1363, 442)
Papers Please	mouse left up	12662367	(1361, 440)
Papers Please	mouse left down	12663193	(1159, 762)
Papers Please	mouse left up	12663599	(1022, 732)
Papers Please	mouse left down	12664067	(969, 444)
Papers Please	mouse left up	12664192	(967, 453)
Papers Please	mouse left down	12664426	(990, 637)
Papers Please	mouse left up	12664909	(385, 476)
Papers Please	mouse left down	12680868	(1294, 731)
Papers Please	mouse left up	12681056	(1294, 731)
Papers Please	mouse left down	12683879	(813, 727)
Papers Please	mouse left up	12684846	(813, 727)
Papers Please	mouse left down	12699776	(1119, 717)
Papers Please	mouse left up	12700275	(1119, 717)
Papers Please	mouse left down	12705953	(1115, 711)
Papers Please	mouse left up	12706094	(1115, 711)
Papers Please	mouse left down	12709885	(1115, 711)
Papers Please	mouse left up	12710150	(1115, 711)
Papers Please	mouse left down	12716047	(1115, 711)
Papers Please	mouse left up	12716156	(1115, 711)
Papers Please	mouse left down	12716780	(1025, 489)
Papers Please	mouse left up	12717513	(320, 704)
Papers Please	mouse left down	12718137	(570, 265)
Papers Please	mouse left up	12718246	(570, 265)
Papers Please	mouse left down	12718667	(550, 372)
Papers Please	mouse left up	12718761	(550, 372)
Papers Please	mouse left down	12719853	(1360, 439)
Papers Please	mouse left up	12719947	(1360, 439)
Papers Please	mouse left down	12721382	(813, 445)
Papers Please	mouse left up	12721507	(813, 445)
Papers Please	mouse left down	12722287	(479, 719)
Papers Please	mouse left up	12723223	(1077, 547)
Papers Please	mouse left down	12725188	(419, 631)
Papers Please	mouse left up	12725719	(721, 585)
Papers Please	mouse left down	12725812	(758, 570)
Papers Please	mouse left up	12725906	(777, 567)
Papers Please	mouse left down	12726951	(1160, 506)
Papers Please	mouse left up	12727045	(1160, 506)
Papers Please	mouse left down	12729790	(901, 644)
Papers Please	mouse left up	12729884	(901, 644)
Papers Please	mouse left down	12731163	(775, 635)
Papers Please	mouse left up	12731818	(770, 608)
Papers Please	mouse left down	12737216	(1361, 439)
Papers Please	mouse left up	12737325	(1361, 439)
Papers Please	mouse left down	12738979	(789, 637)
Papers Please	mouse left up	12740258	(1234, 663)
Papers Please	mouse left down	12740866	(1202, 415)
Papers Please	mouse left up	12741007	(1202, 415)
Papers Please	mouse left down	12741490	(1186, 632)
Papers Please	mouse left up	12742270	(438, 485)
Papers Please	mouse left down	12744361	(575, 276)
Papers Please	mouse left up	12744532	(575, 276)
Papers Please	mouse left down	12749914	(863, 400)
Papers Please	mouse left up	12750039	(863, 400)
Papers Please	mouse left down	12751256	(410, 634)
Papers Please	mouse left up	12751989	(756, 553)
Papers Please	mouse left down	12752504	(969, 410)
Papers Please	mouse left up	12752613	(969, 410)
Papers Please	mouse left down	12753175	(864, 403)
Papers Please	mouse left up	12753268	(864, 403)
Papers Please	mouse left down	12754329	(1164, 508)
Papers Please	mouse left up	12754423	(1164, 508)
Papers Please	mouse left down	12755842	(952, 493)
Papers Please	mouse left up	12755920	(952, 493)
Papers Please	mouse left down	12756778	(747, 558)
Papers Please	mouse left up	12757449	(730, 561)
Papers Please	mouse left down	12763471	(1334, 747)
Papers Please	mouse left up	12763580	(1333, 747)
Papers Please	mouse left down	12764610	(733, 659)
Papers Please	mouse left up	12764688	(733, 659)
Papers Please	mouse left down	12765374	(272, 755)
Papers Please	mouse left up	12765483	(272, 755)
Papers Please	mouse left down	12768104	(411, 700)
Papers Please	mouse left up	12768213	(411, 700)
Papers Please	mouse left down	12770990	(1357, 426)
Papers Please	mouse left up	12771146	(1357, 426)
Papers Please	mouse left down	12771801	(700, 634)
Papers Please	mouse left up	12772535	(907, 654)
Papers Please	mouse left down	12773034	(992, 425)
Papers Please	mouse left up	12773096	(992, 425)
Papers Please	mouse left down	12773471	(965, 659)
Papers Please	mouse left up	12773923	(404, 440)
Papers Please	mouse left down	12776123	(581, 276)
Papers Please	mouse left up	12776185	(581, 276)
Papers Please	mouse left down	12782831	(412, 636)
Papers Please	mouse left up	12783611	(748, 549)
Papers Please	mouse left down	12784281	(1028, 403)
Papers Please	mouse left up	12784359	(1028, 403)
Papers Please	mouse left down	12784952	(869, 398)
Papers Please	mouse left up	12785077	(869, 398)
Papers Please	mouse left down	12786075	(1166, 515)
Papers Please	mouse left up	12786169	(1166, 515)
Papers Please	mouse left down	12786918	(891, 638)
Papers Please	mouse left up	12786996	(891, 638)
Papers Please	mouse left down	12788244	(1048, 494)
Papers Please	mouse left up	12788634	(1081, 448)
Papers Please	mouse left down	12791801	(1340, 739)
Papers Please	mouse left up	12791879	(1322, 741)
